,Sentence1,Sentence2,Sentence1_embedding,Sentence2_embedding
10,They found two seashells., They found a handful of seashells.,"[ 0.3980425   0.48876622  1.6696527  ... -0.9127725   0.39118832
  0.7701965 ]","[ 1.5612998   1.3034863   1.6454713  ... -0.36395535  0.5940956
 -0.13944508]"
11,There were twelve chairs in the room., There were plenty of chairs in the room.,[-3.663283  -5.875567   2.3617792 ... -0.5102781  0.5872447  4.156584 ],"[-3.4822416  -5.8325768   1.384418   ...  0.25204277  2.038041
  2.8571157 ]"
12,I have three pairs of shoes., I have several pairs of shoes.,"[-0.14134179 -3.6761365   2.0185955  ... -1.0790348  -2.8318315
  1.375636  ]",[-1.0158349 -3.5610678  1.3419648 ... -1.1464244 -1.8299234  1.6371381]
13,She baked six cakes., She baked many cakes.,[-1.209204   1.4122022  2.052318  ... -4.173007  -2.9376173  4.568379 ],"[-1.4077166   2.9166853   1.521579   ... -3.9971747  -0.59143937
  3.5901406 ]"
14,He read two chapters., He read a number of chapters.,"[-2.1602786   0.3298983   1.208945   ...  0.06727631  1.3476518
  5.035629  ]","[-1.1525902  -0.7308795   0.37557396 ... -0.7976578   0.95322686
  2.769862  ]"
15,There are twenty trees in the forest., There are countless trees in the forest.,[-1.6673514 -3.4997964  1.2251072 ... -2.21019   -1.7594883  2.1967459],"[-2.0017602  -1.4600995   0.02641386 ... -0.00308656  0.6053066
  0.49830514]"
16,The bowl has five oranges., The bowl has a few oranges.,"[ 1.4167172  -0.15615796  1.7597305  ... -0.84739923 -2.7247841
  1.0980388 ]","[ 1.1564268   0.37189987  0.5182832  ...  0.72606236 -2.6675305
  1.2782202 ]"
17,I bought three bananas., I bought some bananas.,"[-0.0766624   2.6141095   0.44527015 ... -1.5202211  -1.8178909
  1.2203248 ]","[-1.0947024   3.7709699   1.1636152  ... -0.97461385  0.1340493
  0.75172657]"
18,She collected four stamps., She collected a small number of stamps.,"[ 1.1275399   0.69223547  1.3798206  ... -0.36488825 -0.9727767
  2.311377  ]",[1.468022   0.5082103  1.2316575  ... 0.21611118 0.04036926 1.1998637 ]
19,He wrote ten pages., He wrote quite a few pages.,"[-0.3990064   1.7971579   0.89587337 ... -2.792969    0.05582124
  2.9730961 ]","[-1.9370558  -0.43124273 -0.4317163  ... -1.0824244   0.48685274
  1.4522076 ]"
20,There are seven days in a week., There are a certain number of days in a week.,"[ 1.4751607  -5.166873    1.0704901  ...  0.9603332  -1.3976074
  0.56313086]","[-1.307428   -5.5956936   0.44946757 ...  0.24288295 -0.5313206
  1.1895312 ]"
21,They found two coins., They found some coins.,"[ 0.17800984  3.7372818  -0.05196917 ...  0.10634749  0.9682668
  2.3457859 ]","[ 0.05117164  3.7014248   0.7035254  ... -0.23908171  1.1367897
  0.38148367]"
22,The store has six apples., The store has a limited number of apples.,"[-0.28049675 -2.4934242   3.3900452  ...  0.33482757 -2.9458935
 -1.3518888 ]","[-0.87126267 -4.496131    3.083103   ...  1.4773945  -2.665618
  0.20868169]"
23,We ate four slices of pizza., We ate quite a few slices of pizza.,[-1.9686563 -1.2676255  2.4313722 ... -3.0495076 -3.3009017  1.8576628],[-4.0772433 -1.8706281  1.5776954 ... -1.8798637 -1.8513148  1.7821778]
24,The team scored two goals., The team scored a few goals.,"[ 2.8032925   0.1792612  -0.98281574 ... -2.3568947  -3.4509475
  6.0075264 ]","[ 2.255875   -0.64298123 -1.655338   ... -2.581798   -3.0238106
  5.52618   ]"
25,She sang three songs., She sang a couple of songs.,"[ 1.045264    1.5250447   0.43061084 ... -0.2764138  -2.3277457
  1.8740908 ]","[ 0.6588718  -1.6998136  -0.5930511  ... -0.57151604 -1.0264896
  0.49277607]"
26,He answered five questions., He answered several questions.,"[-0.79150814  3.0442653   0.0989748  ... -0.77626324 -1.3564861
  2.6413133 ]","[-1.2842537   2.4502683  -0.6613778  ... -0.13895464 -0.6301277
  1.6572069 ]"
27,There are ten stars in the sky., There are many stars in the sky.,[-2.3941805 -1.812554   1.4221451 ... -0.7531879 -2.757418   1.860688 ],"[-2.9711208  -0.20498744  0.71451104 ... -0.47716823 -3.1082036
  1.0004241 ]"
28,I have three dollars., I have a little money.,"[ 0.20524354  2.351118    1.4514039  ... -0.05985708 -2.470395
  2.1847982 ]","[ 0.13127613  0.5741451   0.56665164 ... -0.04496634 -1.500802
  2.2632563 ]"
29,She walked two miles., She walked a short distance.,"[ 2.1012301  -0.81408405  0.78441715 ...  1.7051986  -0.7391013
  3.1072    ]","[ 1.5353178  -2.4316103  -0.6312339  ...  0.42388916  1.494113
  0.7134722 ]"
30,He made four calls., He made a few calls.,"[ 0.00391718  2.8070607   1.1890419  ... -1.813734    2.936852
  2.7475224 ]","[ 0.1217241   1.6850824   0.699415   ... -0.92760557  5.812496
  0.6947098 ]"
31,There are five birds in the tree., There are some birds in the tree.,[-1.7104129 -1.7685735  1.0852469 ... -2.2978902 -1.2850225  1.1473196],"[-1.8179798  -0.58479565  0.7602799  ... -1.7199225  -0.9896214
  1.1716845 ]"
32,We saw two movies., We saw a couple of movies.,"[-1.561177   -3.3847327   0.19537735 ... -1.9585354  -3.5419166
  2.4118028 ]","[-0.44211486 -4.8627353  -0.16625027 ... -2.2129087  -2.873755
  1.791294  ]"
33,They bought three houses., They bought a few houses.,[ 0.6612085 -1.4320407  1.0867041 ... -1.4142857 -2.1869626  3.081111 ],"[ 0.15503232 -0.67646724  0.52868295 ... -1.3993853  -0.6713138
  2.6697018 ]"
34,The teacher graded ten papers., The teacher graded many papers.,[ 1.6818647  0.3888204  3.6586094 ... -3.019325  -1.7041682  1.8854966],"[ 0.74991995  2.2824886   2.924078   ... -2.8386781  -1.2729841
  1.9487319 ]"
35,He ate two sandwiches., He ate several sandwiches.,"[-1.4587429   1.8502932   3.407196   ... -1.4668853   0.61977065
  3.39073   ]",[-1.5398203  2.733307   2.9536185 ... -2.0341403  1.8773819  2.2307339]
36,She drank three cups of coffee., She drank a lot of coffee.,[-0.7613241  1.7039001  4.0869575 ... -2.2989502 -1.5501884  5.920731 ],[-2.3866665  2.3655305  3.34852   ... -2.144767   1.5816345  4.020517 ]
37,There are twelve months in a year., There are a number of months in a year.,"[-1.9981477  -4.274569    0.29041967 ... -1.3846256  -1.9155164
  1.4022326 ]","[-1.7878752  -5.6028996   0.22608224 ... -1.0805746  -0.8405588
  1.9201895 ]"
38,I received three emails., I received some emails.,"[-0.11624739  1.7163254   2.086926   ... -1.219034    0.2656476
  2.6770492 ]",[-0.6817437  2.8768437  1.5943664 ... -0.978611   1.9506419  1.8716536]
39,She wore two bracelets., She wore a few bracelets.,[ 1.3858926  0.7542451  2.5767837 ...  0.9436914 -3.7535024  2.9264677],[ 1.7643305 -1.1517836  2.1257293 ...  0.4861065 -3.1192749  1.5942928]
40,He built four birdhouses., He built a number of birdhouses.,[ 0.7032945  0.425315   1.5385457 ... -2.7449992  1.3451763  1.4126722],"[ 0.42757803  1.1136172   0.5181417  ... -1.9737735   2.732451
 -0.5251826 ]"
41,There are ten players on the team., There are many players on the team.,[-1.7762965 -2.13447    1.7496116 ... -1.3595994 -4.8447595  4.0100207],"[-2.7688491  -1.3863418  -0.06540784 ... -1.1739637  -2.7924685
  3.11906   ]"
42,I read two books., I read a couple of books.,"[-1.6453384  -1.9932381   1.0742424  ... -1.8565245   0.34207612
  5.241195  ]","[-0.7138882  -4.491803   -0.15056059 ... -1.9177743   0.19363801
  3.4631488 ]"
43,She baked four pies., She baked several pies.,[-0.768109   0.9438006  1.3145797 ... -4.3876157 -2.9618735  3.5161827],"[-0.6594374   0.75152475  0.85236454 ... -3.9293766  -0.6798529
  2.9349172 ]"
44,He planted five trees., He planted some trees.,[-0.5959593  3.0390851  2.5750127 ... -2.1151729 -2.4722931  2.9234958],"[-0.8168726   4.84787     1.5322368  ... -0.80449057 -0.15295105
  1.5687354 ]"
45,There are twenty students in the class., There are numerous students in the class.,[-1.6326945 -1.7847044  2.7992337 ... -1.0078228 -3.4341073  2.3775184],"[-4.349235   -1.1616858   1.946479   ...  0.18926519 -2.978051
  2.8396974 ]"
46,I lost three buttons., I lost a few buttons.,"[ 1.0339606   1.0937301   1.2428191  ... -1.4036605   0.85977185
  0.6426431 ]","[ 0.17301929  1.6731654   1.0569962  ... -1.6002034   1.47473
  0.60647625]"
47,She found four shells., She found some shells.,"[ 1.431181    1.7737347   1.9118698  ... -0.8121688  -0.50362015
  1.371059  ]","[ 0.58492327  1.5644844   2.4057534  ... -0.09880138  1.0327793
  0.17889497]"
48,He collected seven stamps., He collected a small collection of stamps.,"[ 0.92418146  1.76565     1.4684078  ... -0.46966887  1.9477621
  2.012242  ]","[ 0.93682694  1.402486    0.5579401  ... -0.02149205  2.4956057
  1.7082026 ]"
49,There are six flowers in the vase., There are several flowers in the vase.,"[ 1.3349993  -3.261458    0.75686526 ... -1.9728287  -2.704343
  2.9940746 ]","[ 0.95195127 -1.7649952  -0.83295023 ...  0.2071537  -1.3454713
  2.2589319 ]"
50,I bought three shirts., I bought a few shirts.,"[ 1.3384566   0.45994815  0.858788   ... -0.48507872 -2.5435297
  1.9641371 ]","[ 0.58881295 -0.67454654  0.48836103 ... -0.5208264  -0.35637602
  1.6323351 ]"
51,She read four magazines., She read quite a few magazines.,"[-1.5097607   0.28286853  0.51257336 ... -1.4419262  -2.6514995
  4.1622653 ]",[-2.8070428 -0.2625033  0.1327103 ... -0.1335135 -1.731367   3.455377 ]
52,He wrote five letters., He wrote some letters.,"[-0.01426678  2.3597007   1.7816763  ... -2.422217   -0.20704465
  1.8209743 ]","[-0.7292441   2.844068    1.0051737  ... -1.8447975   1.3682896
  0.38778788]"
53,There were ten people at the party., There were many people at the party.,"[-1.7184641  -3.8942096   2.4129384  ... -2.2078958  -0.54112816
  3.8174353 ]",[-2.8354025 -2.766862   1.2982427 ... -1.5018221 -1.1524777  2.646601 ]
54,I ate two pieces of cake., I ate a small amount of cake.,"[-1.1613632   1.1344795   3.2262764  ... -2.1705275   0.02236383
  3.3432808 ]","[-0.9404434   1.5084864   2.576721   ... -1.5199121   0.30428195
  2.3966508 ]"
55,She drank three glasses of juice., She drank a lot of juice.,[-0.6040818  1.9023561  4.4235535 ... -1.8769052 -1.1246759  4.293566 ],[-2.3338459  2.5782247  3.702107  ... -1.7547249  1.0688053  3.120432 ]
56,He spent four hours studying., He spent many hours studying.,"[-0.90857524  1.4896914   1.0923611  ...  0.0953548  -0.37476382
  2.2585695 ]","[-1.9151154   1.8458782   0.6370732  ...  1.550805    0.25694448
  1.9470507 ]"
57,There were five cars in the garage., There were some cars in the garage.,[-3.6569016 -5.2538385  1.2023774 ... -0.9337953 -3.5734844  2.1372705],"[-4.324102   -3.5577354   0.00693322 ... -0.31192693 -1.5778657
  1.8257636 ]"
58,I answered two questions correctly., I answered a few questions correctly.,"[-1.4959341  -0.98459464 -0.88912106 ... -2.216906   -1.3651558
  2.4040902 ]","[-1.6695874  -0.41604048 -1.044243   ... -1.8070592  -0.69770104
  1.0526884 ]"
59,She baked three cookies., She baked a couple of cookies.,[-1.4316524  2.6953921  1.043482  ... -3.2366815 -2.0307121  4.66166  ],"[-0.9069357   0.87833637  0.13727692 ... -3.2898617  -0.88940674
  3.1409097 ]"
60,He wrote two poems., He wrote a few poems.,"[-1.1366812   1.759486    0.11526618 ... -2.2163022   0.7093481
  1.9162407 ]","[-0.9966817   0.6761875  -0.90608674 ... -1.7825803   1.553
  1.3168201 ]"
61,There are seven days in a week., There are a fixed number of days in a week.,"[ 1.4751607  -5.166873    1.0704901  ...  0.9603332  -1.3976074
  0.56313086]","[-1.7493706  -3.5546072   1.2268443  ... -0.22847414 -0.73008156
  1.380951  ]"
62,I have three pens., I have some writing instruments.,"[-0.1033393  -0.64540666  1.9410461  ... -0.9663731  -3.1151042
  2.4416685 ]","[-1.2282132  -0.3185579   1.1841325  ... -0.24029873 -0.5667953
  1.4906454 ]"
63,She bought four dresses., She bought some clothing items.,"[ 1.1704438  -0.13140152  0.2673862  ... -2.1918302  -4.3924093
  2.7133777 ]","[ 1.1214895   0.2935755   2.3292382  ... -0.22178745 -0.55262417
  0.84186053]"
64,He read two articles., He read a couple of articles.,"[-1.551976    1.5504475   0.62887275 ... -1.7156273   0.31085682
  4.7937503 ]","[-0.8679428  -1.1496017  -0.34771442 ... -1.1349821   0.18066049
  3.1015983 ]"
65,There are ten apples in the basket., There are several apples in the basket.,"[-0.46682388 -0.7686177   1.144031   ... -2.9970505  -1.5011082
 -0.54730237]","[ 0.4980203  -0.6222112   0.45251113 ... -1.620516   -0.32457754
 -0.21708646]"
66,I ate two slices of bread., I ate a couple of slices of bread.,[-2.7060578  1.6677325  3.4991932 ... -2.3601623 -0.7782763  2.8030744],"[-2.3439434   0.05153959  2.3956418  ... -1.4875461   0.05509101
  1.6816207 ]"
67,She drank three cups of tea., She drank some tea.,"[-0.13944721  1.2405365   4.4095163  ... -2.4413178  -2.0244582
  6.1851707 ]","[-1.3628867   2.8955073   4.962719   ... -1.262759    0.08677175
  3.9317117 ]"
68,He wrote two songs., He wrote a few songs.,"[-0.21880803  2.0805218  -0.56394833 ... -1.6262829   1.5609232
  1.8573158 ]","[-0.5618741   0.26775715 -1.4084764  ... -1.4542083   2.2288969
  0.85749084]"
69,There are five birds singing., There are several birds singing.,"[-1.638687   -0.747971    0.39651248 ... -2.6086702  -4.4623847
  1.0752031 ]","[-1.7529436  -0.86332226 -0.3734299  ... -1.7899903  -1.8437281
  1.8155628 ]"
70,I have three dogs., I have some pets.,"[-0.22938466 -2.414355   -0.25412583 ... -0.7139484  -2.2972562
  2.3247075 ]","[ 0.16230047  0.02148228  0.45656577 ... -0.58706397 -0.8290305
  2.5997312 ]"
71,She bought four pairs of socks., She bought some hosiery.,"[ 0.684545   -0.24073768  2.9272177  ... -1.8332099  -3.9866168
  2.2059855 ]","[ 2.2142766   0.29346535  2.0696223  ... -0.38390133 -1.603634
  2.2229118 ]"
72,He read two chapters of the book., He read a portion of the book.,"[-2.6030366  -0.26403362  0.8901223  ...  0.5226016   1.8932464
  5.721527  ]","[-1.3049624   1.0493276  -0.8863877  ... -0.02909547  0.8244678
  3.0941105 ]"
73,There are ten fish in the pond., There are numerous fish in the pond.,"[-1.9736518  -1.6027744   0.4161269  ...  0.86524236 -2.368208
  3.7722702 ]","[-2.6260154  -1.3239098   0.43294358 ...  1.0553544  -0.929527
  3.20142   ]"
74,I ate two bowls of soup., I ate several bowls of soup.,"[ 0.02272453 -0.14277668  1.9952142  ... -2.2371523  -2.1396947
  3.6215682 ]","[-0.90709877 -0.2191638   1.7390525  ... -2.1329024  -0.4388663
  2.412212  ]"
75,She drank three bottles of water., She drank a large quantity of water.,"[ 0.07880119  2.4050949   3.4045813  ... -0.6073928  -1.1085219
  3.9510627 ]",[-2.45913    3.7098298  2.8802495 ... -2.1375725  1.1362362  4.0855885]
76,He wrote two essays., He wrote a few essays.,"[-1.6132095   1.6542495   0.24300647 ... -2.8766835   0.83233035
  2.149883  ]",[-1.2189099  0.2282378 -0.8807912 ... -2.3885329  1.8450893  1.1799326]
77,There are five houses on the street., There are a number of houses on the street.,[-2.88748   -5.8336782  1.5850002 ... -0.0828962 -3.80067    2.0735624],"[-3.339887   -5.8343267   1.3164456  ...  0.24120364 -3.369007
  2.5559084 ]"
78,I have three cats., I have some feline companions.,"[ 1.5293245  -0.9419244   0.79846907 ... -0.60325545 -2.9316885
  3.4661133 ]","[-0.3096771  -2.1574242   0.90016896 ... -0.5927517  -0.55784124
  2.0910802 ]"
79,She bought four pairs of pants., She bought a few pairs of pants.,"[ 0.9582098  -0.43464217  2.1140358  ... -2.1276371  -4.1748943
  2.0234246 ]","[ 1.1095715  -0.07321022  1.241816   ... -1.0482908  -1.8641543
  2.006395  ]"
80,He read two novels., He read a couple of novels.,"[-3.0302157   0.41046804  1.1445465  ... -0.34807006  1.2223983
  5.263548  ]","[-1.5617417  -1.2434095  -0.40352574 ... -0.5419573   1.0296097
  3.219373  ]"
81,There are ten books on the shelf., There are many books on the shelf.,[-2.3922782 -2.9439237  1.3840082 ... -0.7624277 -1.5036685  3.538842 ],"[-4.255147   -1.0772505   0.82175386 ...  0.13696508  0.02727914
  3.1765196 ]"
82,The farmer has 20 sheep., The farmer has many sheep.,[-2.6385968  0.7412025  1.5397022 ... -2.3867264 -2.064179   1.325087 ],[ 0.0205879  3.2300556  1.4993166 ... -1.4418012 -1.0450454  1.958098 ]
83,There are 15 birds in the tree., There are several birds in the tree.,"[-1.7328517  -3.0656934   2.2003202  ... -1.4491034  -1.0124629
  0.16951482]","[-1.2108006  -1.20666     0.89050263 ... -2.056882   -1.0791917
  1.7767651 ]"
84,I received 5 emails., I received a handful of emails.,"[-0.5126761   0.7679882   1.3008024  ... -1.1712245   0.98208934
  2.445533  ]","[-0.43642616  1.7582084   1.4609461  ... -0.6272798   1.8757764
  1.8750851 ]"
85,She baked 12 cookies., She baked dozens of cookies.,[-2.1553013  1.827928   0.7664949 ... -3.138789  -2.2029405  3.9055781],[-1.2387565  3.523595   1.2100111 ... -3.857176  -0.5744273  3.55896  ]
86,He planted 30 trees., He planted numerous trees.,"[-0.92267716  2.5433526   1.5009414  ... -0.9290325  -1.8957683
  2.5400848 ]","[-0.6595689   4.9788866   0.87531394 ... -0.22464988  1.0018461
  1.0362827 ]"
87,There are 10 cars in the parking lot., There are a lot of cars in the parking lot.,"[-2.4828985  -5.809389   -0.34741682 ... -0.3903967  -3.6518202
  0.91146123]","[-3.352967   -3.2792099  -0.26683667 ... -0.10518556 -2.7831545
  1.3817985 ]"
88,I read 2 chapters., I read a small portion of the book.,"[-0.75146127 -3.4497166   0.0562313  ... -0.13852726  0.76912
  3.12384   ]","[-0.5985583  -2.9791615  -0.07643574 ... -0.44557747 -0.02137253
  2.726399  ]"
89,She ate 6 apples., She ate a few apples.,[-1.0372925  1.4116653  3.060049  ... -2.2688186 -1.1215512  1.383427 ],"[-0.44315627  1.0702856   2.3822167  ... -1.5396117   0.3642354
  1.3590708 ]"
90,He drank 4 glasses of water., He drank quite a bit of water.,[-2.2572732  1.719262   3.768124  ... -3.2841315  1.1792948  3.2097054],[-2.8490262  2.7824962  2.8698611 ... -1.7575136  1.7994215  4.310206 ]
91,There were 100 people at the concert., There was a huge crowd at the concert.,[-2.1436744 -4.6608543  1.3658576 ...  1.0390986 -1.4399438  1.1738883],"[-1.9355844  -2.3338404   0.23028241 ... -0.3393347  -2.1401634
  3.9217122 ]"
92,I collected 15 stamps., I have a small collection of stamps.,"[-0.6088061  -3.1914845   0.1721891  ...  0.0219481   0.22403249
  2.1024153 ]","[ 0.3256811  -3.3572407   0.07368071 ... -0.623669   -1.5952369
  1.8736421 ]"
93,She wrote 7 pages., She wrote a few pages.,"[ 0.8863279  -0.7997456   0.72667885 ... -1.35733    -1.1033665
  0.878211  ]","[ 0.8135368  -1.3391455  -0.52591664 ... -1.0288597  -0.22081196
  1.2590581 ]"
94,He answered 8 questions correctly., He answered most of the questions correctly.,"[-0.39089555  3.332622   -0.03467841 ... -1.3411375  -0.13393448
  1.8789425 ]","[-1.2678652   3.2079558  -0.8813752  ... -0.08262174 -0.83898395
  1.0579371 ]"
95,There are 50 stars visible., There are countless stars in the sky.,"[-2.7806094  -2.9291744  -0.16671658 ...  0.6653544  -1.3545728
  0.20720282]","[-3.8782198   0.426541    0.66846323 ... -0.07293028 -2.4245303
  0.5684495 ]"
96,I bought 3 shirts., I bought some new shirts.,"[ 0.42244497 -0.5752526  -0.06785643 ...  0.1394331  -1.5690728
  1.9186058 ]","[ 0.45882514  0.6900957   0.94914895 ... -0.7196272  -0.35965765
  0.46296075]"
97,She baked 2 cakes., She baked a couple of cakes.,"[-1.4423313   2.0031297   1.0557474  ... -3.0774956  -0.82342225
  4.220103  ]","[-0.6883966   0.08791668  0.08367385 ... -3.3215752  -1.0599095
  3.133014  ]"
98,He planted 4 flowers., He planted a few flowers.,"[-0.20712513  3.5726974   1.7821153  ... -0.85866284 -1.9160862
  1.9026709 ]","[ 1.0252715   2.726703    1.4528269  ... -0.10118946 -0.68021303
  2.0195138 ]"
99,There are 25 students in the class., There are a large number of students in the class.,[-1.8911091 -3.0006585  1.8694756 ...  0.9752641 -2.917816   1.2886426],"[-4.1967015  -1.7596432   1.992955   ... -0.13437657 -3.3201568
  2.138258  ]"
100,I have 2 dogs., I have a couple of dogs.,"[-1.1915098  -3.3107727  -0.92679685 ... -0.70294714 -1.2087015
  1.4006344 ]","[ 0.25990194 -4.534032   -1.1505369  ... -0.7199258  -1.8760703
  1.8649062 ]"
101,She read 5 books., She read several books.,[-0.7941026  0.2094994  1.1641246 ... -0.8548638 -0.7044676  4.51803  ],"[-1.6505791   0.3625792   0.98570096 ... -1.0786365  -0.50935113
  4.0994887 ]"
102,He wrote 3 poems., He wrote some poems.,"[ 0.28859267  0.40799883 -0.98105574 ... -1.523829    1.2217187
  1.0439872 ]","[-1.6442322   2.0151114   0.06602903 ... -1.7800175   0.9202221
  0.74811494]"
103,There were 12 chairs in the room., There were plenty of chairs in the room.,"[-2.7564187  -6.271789    1.3323478  ... -0.05416763  0.97149086
  1.9174106 ]","[-3.4822416  -5.8325768   1.384418   ...  0.25204277  2.038041
  2.8571157 ]"
104,I ate 4 slices of pizza., I ate a fair amount of pizza.,"[-2.949092   -0.18327278  2.3105557  ... -2.6876588  -1.0093077
  1.3809013 ]","[-2.833047   -1.1721926   2.0791652  ... -1.2700527   0.07218727
  2.040285  ]"
105,She drank 3 cups of coffee., She drank a considerable amount of coffee.,"[-1.349055    0.96633726  4.2867117  ... -1.355491   -0.6381237
  4.985347  ]",[-2.3587668  1.2593974  2.6925654 ... -2.2054195  1.8821465  4.373084 ]
106,He spent 5 hours working., He spent a good chunk of the day working.,"[ 0.42660373 -0.3202586   0.61341035 ...  0.71432906  0.82921255
  2.3580348 ]","[-1.418667   -3.6228302   0.19798556 ...  1.2625551   1.942729
  3.096051  ]"
107,There are 20 houses on the street., There are approximately twenty houses on the street.,"[-2.6859894  -5.612249   -0.1887207  ...  0.3186273  -2.1558547
  0.64187986]","[-3.2962902  -5.10325     2.297038   ...  0.54054385 -2.6508157
  3.575626  ]"
108,I have 6 pens., I have a few writing implements.,[-0.4737978 -1.719428   1.6733624 ... -1.690195  -1.7071925  1.1955494],"[-0.19661918 -3.5300682   0.10479038 ... -0.70364046 -0.6138321
  1.7785928 ]"
109,She bought 4 dresses., She bought some new outfits.,"[ 0.2803528   0.19344318  0.18444382 ... -1.6334447  -2.9409516
  2.33914   ]","[ 1.12562    -0.19694932  0.8296822  ... -1.1692041  -1.2987
  1.1648858 ]"
110,He read 3 articles., He read some articles.,"[-0.41720104  1.4357365   0.42535567 ... -1.214616    0.46160078
  3.4528239 ]","[-1.1852133   1.6925137   0.71733576 ... -2.0569983   0.60526806
  3.6862836 ]"
111,There are 15 apples in the basket., There's a good amount of apples in the basket.,"[-1.0821413  -2.2315307   0.5699319  ... -1.4332951  -0.6892517
 -0.75272834]","[-1.3080369  -4.1954975   1.0582951  ... -0.238698   -0.05267997
  0.2743646 ]"
112,I ate 2 slices of bread., I ate a small portion of the bread.,[-2.7228189  0.5056665  2.726885  ... -1.4754355 -0.4039146  1.8867848],"[-1.5723574   0.8922755   2.1439543  ... -0.7821733   0.09493009
  2.1022305 ]"
113,She drank 3 cups of tea., She drank some tea.,[-0.8728441  0.5527759  4.5180364 ... -1.5415087 -1.2256049  5.2108793],"[-1.3628867   2.8955073   4.962719   ... -1.262759    0.08677175
  3.9317117 ]"
114,He wrote 2 songs., He wrote a couple of songs.,"[ 0.39309552  0.8688472  -1.4737369  ... -1.0322491   2.2210817
  1.0603122 ]","[-0.24913625 -1.2900065  -1.5188624  ... -1.8355225   1.6564338
  1.0366995 ]"
115,There are 10 birds singing., There's a chorus of birds singing.,"[-1.2748615  -2.5931485  -0.02472074 ... -1.6862931  -2.627869
  1.0822583 ]","[-1.1183171  -0.4554185  -0.17374003 ... -0.49519998 -0.6488942
  1.2763413 ]"
116,I have 7 cats., I have many cats.,"[ 0.63918763 -2.2812092   0.7410645  ... -0.857909   -1.6970263
  1.8098408 ]","[ 0.3844586   0.33893797  1.2542938  ... -1.0637941  -1.6109823
  3.2188287 ]"
117,She bought 8 pairs of socks., She bought lots of socks.,"[ 0.18112478  0.79897517  2.5193336  ... -1.9219651  -1.6878943
  1.6458235 ]","[ 0.28415754  1.5769796   2.1891906  ... -0.4785852  -0.539565
  1.6035773 ]"
118,He read 4 chapters of the book., He read a significant portion of the book.,"[-1.1774883  -0.8243148   0.5656983  ... -0.48066792  1.3437341
  4.7557297 ]","[-1.448408    0.45244837 -0.34709182 ... -0.18192966  1.4794067
  2.6651094 ]"
119,There are 30 fish in the pond., There are numerous fish in the pond.,"[-3.043296   -3.321011    0.19999179 ...  1.1409068  -1.7673075
  1.8403986 ]","[-2.6260154  -1.3239098   0.43294358 ...  1.0553544  -0.929527
  3.20142   ]"
120,I ate 5 bowls of soup., I ate a large quantity of soup.,"[-0.70577514 -1.0774285   1.6130869  ... -1.7598383  -1.7385716
  2.5280886 ]",[-2.6576703  1.3301479  2.5270584 ... -1.1706586  0.149203   2.7041519]
121,She drank 6 bottles of water., She drank a great deal of water.,[-0.5667497  1.2667222  3.9008217 ... -0.9508863 -0.5296594  2.4682877],[-1.5888667  3.109238   3.2847843 ... -2.5522816  1.8265479  4.1040816]
