,Sentence1,Sentence2,Sentence1_embedding,Sentence2_embedding
78,The zebra is among the herd,The zebra is away from the herd,[-1.7285537  1.5219148  1.5911223 ... -1.6068573 -1.4750358  3.7483866],"[-2.434094    1.909709    1.9536983  ...  0.32873267 -0.85081863
  3.9117696 ]"
79,The giraffe is by the watering hole,The giraffe is near the watering hole,"[-0.69052374  0.33560115  3.0527167  ... -0.7041695  -2.4569674
  0.91127205]",[-1.0309842  1.6440446  3.6918075 ... -0.5614197 -1.8739212  1.898014 ]
80,The hippo is in the river,The hippo is near the river,"[-2.2936854   2.528857    0.9434738  ...  0.56590664  1.2257569
  4.4193463 ]","[-2.4459531   2.8586736   0.65381247 ...  0.81589645  1.0657625
  4.0764146 ]"
81,The rhino is in the mud,The rhino is near the mud,"[-3.306338    3.2248657   0.8539044  ... -0.98649323  1.1899482
  3.1247182 ]","[-3.517074    3.8658488   0.6583986  ... -0.8983721   0.44612488
  3.3027115 ]"
82,The tiger is in the tall grass,The tiger is near the tall grass,"[ 2.1868062   3.9288237   0.16711767 ... -0.14304236 -0.7925361
  4.855579  ]","[ 1.4863061   4.3064837   0.61143845 ... -0.4046814  -1.3556772
  4.394971  ]"
83,The bear is near the cave,The bear is inside the cave,"[ 1.593751    3.9637415   0.02536257 ... -1.018245    2.907365
  2.9187477 ]",[ 2.6762702  2.7586977 -0.0803171 ... -0.8213498  3.6829975  1.8620987]
84,The wolf is in the pack,The wolf is near the pack,"[ 0.97800785  3.0181835  -0.97422194 ...  0.48654175  0.06968528
  2.771697  ]","[ 0.34132585  3.351495   -0.5213265  ...  0.05787408  0.8015844
  2.6066754 ]"
85,The fox is near the den,The fox is outside the den,"[ 1.9031305   2.310293   -0.00728722 ... -0.8046387  -0.39610615
  3.2701569 ]","[ 1.6020046   0.87432617  0.6339995  ... -0.61386454 -1.1717206
  2.5841603 ]"
86,The owl is on the branch,The owl is under the branch,"[-0.39867982  2.4529781   1.9909496  ... -1.7685121   0.6313822
  2.329369  ]",[ 0.7112298  4.437141   1.6762795 ... -2.977733   2.0137198  1.988616 ]
87,The eagle is above the mountains,The eagle is beside the mountains,"[-0.10954458  4.968773    2.352008   ... -1.9407195  -1.0046233
  3.2219899 ]",[ 0.8515231  5.132893   2.0430975 ... -1.4657682 -0.2942755  3.4164124]
88,The hawk is over the field,The eagle is near the field,[ 1.0092908  3.7034502  3.4312255 ... -2.112175  -1.0846529  5.236175 ],[-0.6665992  4.3568354  2.9814339 ... -1.1092191 -0.5174835  5.196701 ]
89,The kite is in the sky,The kite is below the clouds,"[ 1.5183495   4.8535895   4.646346   ...  1.3505608  -2.3018525
  0.39415002]","[ 2.4565172   3.7442868   3.576849   ... -0.12638344 -1.9808292
  0.936366  ]"
90,The balloon is above the houses,The balloon is near the houses,"[-0.8388118   3.170707    2.6228397  ... -0.08576366 -3.9614155
  2.1341274 ]","[-0.71174693  2.9135902   3.0213     ...  0.76730204 -3.3115847
  3.059993  ]"
91,The cloud is over the mountain,The cloud is near the mountain,"[ 0.58844644  2.7014883   3.0063038  ...  0.6905131  -2.0884495
  1.1123489 ]","[-0.2118011   2.9917443   3.4460144  ...  0.39752972 -1.2053949
  0.82092696]"
92,The rain is over the city,The rain is around the city,"[ 0.46583733  1.3271706   2.1307535  ...  0.2812465  -3.5439951
  1.653727  ]","[-0.77312964  0.5241099   1.4258918  ...  0.10916083 -3.6155274
  1.1012424 ]"
93,The snow is on the ground,The snow is in the air,"[-0.80642897 -1.4598026  -1.5329256  ... -3.0757837  -1.3742296
  0.65743613]","[-0.21018714 -0.8816533  -1.7352347  ... -1.7234746  -0.31082362
  0.38249767]"
94,The ice is on the lake,The ice is near the lake,"[-0.57932806  0.20774674  1.191902   ... -1.5558954  -0.74310327
  1.6109518 ]","[-0.85932374  2.1328566   2.2387452  ... -1.501771   -0.22623684
  1.6727678 ]"
95,The car is in the parking lot,The car is outside the parking lot,"[-1.8580058   2.5843177   1.3296511  ...  0.83705187 -2.1276438
  2.4067554 ]","[ 0.81699914  0.7796678   1.8646101  ...  0.6552154  -3.8196094
  1.2888483 ]"
96,The bus is at the stop,The bus is away from the stop,"[-1.6881946  -1.2742121   2.6165369  ... -0.11452287 -3.7772648
  0.32922474]",[-1.6575116 -1.48502    3.1093576 ...  1.0023804 -2.3587642 -0.3326228]
97,The train is on the tracks,The train is beside the tracks,[-1.5104084  0.7936732  2.7550545 ...  0.594684  -4.1233473  1.0107678],"[ 1.3342844   1.1779053   2.536313   ...  1.0777546  -2.9229755
  0.58892375]"
98,The boat is on the water,The boat is near the shore,[-3.2304478  1.7853583  0.9957433 ...  0.9655792 -1.63209    1.3871669],"[-0.25797275  1.8471643   2.3715982  ...  1.5213407   1.612939
  1.8867229 ]"
99,The submarine is under the sea,The submarine is above the sea,[-2.8027372  6.702683   3.5261898 ...  1.0310254 -2.5685718  0.3146541],"[-3.033694    4.654953    4.0131526  ... -0.10572823 -2.8574886
 -0.9887065 ]"
100,The airplane is above the airport,The airplane is near the airport,"[-0.1706842   3.1960146   3.3034658  ... -0.4337544  -2.433837
  0.95484596]","[ 0.02069954  3.1204717   4.1054235  ...  0.31694344 -2.1707573
  1.8379631 ]"
101,The helicopter is over the city,The helicopter is near the city,"[-0.33091244  2.7816947   1.6206304  ...  0.27132407 -3.9444878
  1.8878183 ]","[-0.6621401   3.5760167   2.475772   ...  0.33020273 -2.5982208
  1.5887498 ]"
102,The rocket is in space,The rocket is approaching the earth,"[-1.3671507   5.999865    3.5774822  ...  0.12954888 -3.260491
  2.4806247 ]","[-3.9838426   6.3878016   3.941087   ...  0.78732556 -4.2767205
  3.2202976 ]"
103,The satellite is orbiting the earth,The satellite is above the earth,"[-0.66094685  3.4770484   2.9076371  ...  0.49716473 -7.3203425
  3.160378  ]",[-2.7029192  4.329475   4.4162736 ... -1.2416629 -5.232201   2.6098418]
104,The comet is near the sun,The comet is far from the sun,"[-3.262868    3.5555458   0.56590134 ...  0.30509427 -3.1521282
  3.0822146 ]","[-1.9215847   1.9992034   0.21416137 ...  0.24479009 -2.521888
  2.0531414 ]"
105,The asteroid is in space,The asteroid is near the earth,"[-3.891067    2.8425734  -1.1428319  ... -0.14045915 -0.9379145
  1.3019359 ]","[-6.128889    3.1496687  -0.48892763 ...  0.03247718 -1.4006414
  3.1803496 ]"
106,The planet is in the solar system,The planet is far from the sun,"[-3.9824193   1.1596202   1.205658   ...  0.9605428  -0.58953637
  2.847786  ]","[-2.8867505   1.7428752   1.1575572  ... -0.09940775 -0.9737651
  2.1760561 ]"
107,The galaxy is in space,The galaxy is far from our galaxy,[-2.748319   1.3779237  2.106799  ... -0.9790222 -1.5802249  1.836127 ],"[-2.7236617   0.06533533  2.0534947  ...  0.19194916 -2.3724256
  2.5788445 ]"
108,The sun is in the sky,The sun is behind a cloud,[-2.0088596  3.912381   3.3917809 ...  1.1552675 -3.6803892  2.7814271],"[-0.93747693  1.3533325   2.8939724  ...  1.4647859  -5.59423
  1.522603  ]"
109,The moon is in the night sky,The moon is obscured by clouds,"[-2.0257306  -0.04632892  2.5792015  ... -1.962968   -3.5907571
  1.6479353 ]","[-1.7862018  -0.34409118  3.398358   ... -0.8888352  -5.7980647
  2.6234977 ]"
110,The stars are in the night sky,The stars are behind the clouds,"[-2.0341556  -0.4007988   2.3023355  ...  0.18245755 -2.8144593
  1.1104106 ]","[-1.0616874   0.6213044   0.9219094  ...  0.48470613 -4.1804957
  0.5797544 ]"
111,The planets are in the solar system,The planets are outside our solar system,[-2.1234517 -1.716056   0.7296845 ...  0.7504331 -1.4575893  1.6725091],"[-1.1139714  -1.5967273   0.38456276 ...  0.85059625 -4.084728
  2.0425913 ]"
112,The comets are in the solar system,The comets are outside our solar system,"[-0.8728981  -0.72344375  0.59698755 ...  1.0911142  -0.6139189
  1.3159226 ]","[ 0.04841596 -0.5214856   0.57541454 ...  1.2074057  -2.5353007
  1.330452  ]"
113,The meteor is in space,The meteor is entering the atmosphere,[-1.1669865  4.3133636  1.9062485 ... -0.2972892 -2.2380676  2.6258194],"[-1.3828111   4.8128595   1.4069086  ... -0.20334725 -3.7233753
  2.4358132 ]"
114,The astronaut is in space,The astronaut is near the space station,"[ 1.1576984   5.2374983   2.7176402  ... -0.08367326 -1.1203527
  1.0306302 ]","[ 0.19110253  4.3103814   2.9430063  ... -0.22967638 -0.947699
  1.9440653 ]"
115,The space station is in orbit,The space station is near the earth,"[ 0.99758583  1.2215384   1.4272996  ...  0.18630236 -4.297312
  0.53224903]","[-0.90185773  2.0085785   2.0159652  ...  0.47510624 -3.3518891
  1.6108104 ]"
116,The rocket is launching,The rocket is on the launchpad,"[-0.6671848   5.771232    3.856359   ...  0.43641534 -4.4482756
  3.2202377 ]","[-4.209551    3.7704976   3.568051   ...  0.44972965 -4.723371
  2.2333753 ]"
117,The spaceship is traveling through space,The spaceship is near a planet,"[-0.62810636  3.1591108   1.061242   ...  0.16582988 -4.086704
  0.43407795]","[-2.1152618   2.5976279   2.439092   ...  1.3566271  -2.9659717
  0.86986417]"
118,The shuttle is landing,The shuttle is above the runway,"[-0.7173517   4.157366    4.605642   ...  0.22200629 -4.384646
  0.91713685]","[-1.641297    3.4029171   4.0171223  ...  0.50808376 -4.1987576
  0.7885367 ]"
119,The satellite is transmitting data,The satellite is receiving data,[-2.7376688  5.344649   2.7783735 ... -0.6534216 -5.6505914  2.9147274],[-3.190945   5.556615   3.2096658 ... -0.3197611 -4.4555483  3.2834778]
120,The telescope is observing space,The telescope is pointed elsewhere,[-3.0853946  3.2186322  4.4864373 ... -1.1189169 -3.4628365  2.35715  ],[-2.2649388  2.858273   3.9351928 ... -2.1002388 -1.985255   2.0637016]
121,The observatory is studying stars,The observatory is observing planets,"[-2.165173   -0.54484594  1.1820532  ... -1.7011127  -4.091332
  0.7788921 ]","[-1.8111534  -1.1385816   2.02721    ... -1.4889588  -3.4424171
  0.79414016]"
122,The astronomer is studying the cosmos,The astronomer is observing a specific object,"[-2.898991    2.315987    3.0886188  ...  0.35013384 -2.6947753
  1.078123  ]","[-1.5182256   0.6996485   3.2691636  ...  0.73802584 -3.3488855
  0.56809044]"
