,Sentence1,Sentence2,Sentence1_embedding,Sentence2_embedding
41,We might miss the bus., We risk missing the bus.,"[-1.6025991   0.6143798   0.05939714 ... -0.5993983  -3.6593657
  1.0275489 ]",[-0.675894   4.734157   1.8816937 ... -0.5848499 -1.1407098  0.5899481]
42,He could have been more careful., He should have been more careful.,"[ 0.4625698   6.738706    2.2851374  ... -0.42709944  1.5174634
  2.807781  ]","[ 0.1803863   8.041618    1.758057   ... -0.16146009  1.2080505
  1.953741  ]"
43,It may be a good idea., It would be a good idea.,"[-2.3655057   0.14889158 -0.07173688 ... -0.3525537  -0.9706303
  2.5803337 ]","[-0.4450307   1.5956573   0.5292264  ... -0.05525514  2.1535056
  2.1767998 ]"
44,She can help us., She is willing to help us.,[ 1.8200525  9.884241   1.5146632 ...  1.874018  -1.2032299  2.919927 ],[ 2.39409    9.643011   2.5607436 ...  1.402271  -1.6867322  1.6366333]
45,They might need assistance., They could use some assistance.,[-0.6458496  4.2478004  0.6163707 ...  0.5326421 -1.0817263  2.2650201],"[ 0.8464648   3.27797     1.0538589  ...  0.53038055 -0.10065868
  1.0422302 ]"
46,He could learn to play guitar., He has the ability to learn to play guitar.,[1.2053621  7.5566077  0.10589551 ... 0.70943576 1.7731038  3.2822955 ],[1.371571   8.324757   0.21034722 ... 0.38358217 0.5059123  2.9987633 ]
47,It may be cold outside., It's likely to be cold outside.,"[-2.3334007  -0.7282199  -0.68514395 ... -1.6032988  -2.698644
  1.6437739 ]","[-2.7515194   1.1875257   0.8550618  ... -0.66921115  0.9928055
  1.1005051 ]"
48,We might visit our grandparents., We plan to visit our grandparents.,"[-0.28749958 -0.38685688  3.4666088  ... -1.2112554  -4.271866
  1.7174948 ]","[ 0.63473046  0.9009109   2.4541872  ... -1.7426914  -3.1723952
  2.720711  ]"
49,The game could end in a draw., The game is likely to end in a draw.,"[ 2.0443912  -0.04865468 -0.32290864 ... -0.66836935  0.77536815
  4.292561  ]","[ 0.22861123  0.49498925 -1.3755674  ...  0.49586606  2.5291932
  4.058091  ]"
50,He can finish the project by Friday., He is required to finish the project by Friday.,[ 2.1201558  1.9604981  3.0743523 ... -1.1435456 -1.0975132  4.302083 ],"[-0.5052298   2.17997     2.4367363  ... -1.0488155  -0.35329422
  3.5254376 ]"
51,She might feel better tomorrow., She hopes to feel better tomorrow.,"[ 1.1480197   5.132479    2.963872   ... -0.69469625 -0.57538193
  2.2090216 ]","[ 0.89409035  7.97915     2.1333067  ... -0.14357054  0.6983655
  2.6697164 ]"
52,They may want to go home., It's probable they want to go home.,"[-0.7277274   5.276562    0.82399833 ... -1.1967611  -0.9528351
  2.5713906 ]","[-2.5921588   4.2745295   0.57995063 ... -1.1796812   2.8728476
  1.5050756 ]"
53,We might have lunch together., We are planning on having lunch together.,"[-3.0178654  -0.065907    2.318672   ... -0.34430614 -3.9432068
  3.647521  ]",[-2.7075853 -1.2085872  1.2485294 ... -1.2968372 -2.306992   2.391303 ]
54,He could have taken a different route., He could have taken another route.,"[ 0.80818594  5.447014    0.02001673 ... -0.62444973  0.95554984
  1.8265555 ]","[ 0.39145544  5.166722    0.10506875 ... -0.89700973  1.5312634
  1.7160406 ]"
55,It may be a long journey., It's possible it will be a long journey.,[-2.9628968 -1.4237595 -0.9124189 ... -0.8603137 -1.0414176  1.1900856],"[-3.5069263   2.3506188   0.12595458 ... -0.6781737   0.72313875
  0.61333156]"
56,She can sing beautifully., She has the talent to sing beautifully.,"[ 0.20666237  8.856035    1.7638662  ... -1.0573571  -4.5318193
  3.0577972 ]","[-1.3502731   7.5078096  -0.3143186  ...  0.05128452 -3.386242
  3.267127  ]"
57,They might start a business., They are considering starting a business.,"[-0.6960202   1.4014148   1.4153417  ... -1.0119587  -2.6193974
  0.92949486]","[-0.48123217  1.8527849   1.3251421  ... -1.0389354  -2.681504
  0.17407446]"
58,We might stay longer., We could stay longer.,"[-0.02630091 -0.08553674  1.3969384  ... -0.69581527 -2.02319
  2.5634167 ]","[ 0.61571234  1.3883919   1.1191809  ...  0.09008992 -1.4600015
  2.1642356 ]"
59,He could get a raise., He's in line for a raise.,[2.3651552 6.672711  3.0365248 ... 0.456233  2.3977306 2.6143887],"[-0.85340935  4.1509438   2.7276895  ...  0.6380622   2.5163853
  2.7173078 ]"
60,It may be stormy later., There is a chance of storms later.,"[-3.0461667  -2.3276932   0.2631498  ...  0.22623369 -3.9357395
  1.9903053 ]","[-1.2887679   0.466596    1.9148424  ... -0.45272958 -2.1201515
  1.993547  ]"
61,She can speak multiple languages., She is fluent in multiple languages.,"[-0.0727999   6.38024     1.4076072  ...  0.75322485 -3.4116552
  4.4301853 ]","[-0.04183745  4.462741    1.9296106  ...  0.7763862  -1.7854416
  4.794198  ]"
62,They might need your help., Your help might be needed.,"[ 4.5877299e-03  5.6032691e+00  7.1569663e-01 ... -2.5636044e-01
 -9.5014566e-01  1.7341012e+00]","[-0.19608672  7.7865257  -0.09570023 ...  0.6530983  -1.5696913
 -0.73887366]"
63,We might not succeed., Success is uncertain.,"[-1.3438947   4.6432433  -0.37318859 ... -0.70588475 -3.5614955
  2.1596694 ]","[-2.5429454   5.4277496   1.7082851  ... -0.4791136   0.48359293
  1.587606  ]"
64,He could be a great leader., He has leadership potential.,[0.37433434 7.181578   0.98875207 ... 0.39573    1.3638293  3.423869  ],"[-1.2487128   6.042311    1.199227   ...  0.66176546 -1.234144
  2.4669862 ]"
65,It may be difficult., It's anticipated to be difficult.,"[-3.1867032   1.52763     0.8127543  ... -0.06282771 -1.9190385
  2.494284  ]","[-2.7090914   3.0209348   0.79988736 ... -1.2210314   1.646513
  1.7814791 ]"
66,She can run a marathon., She is physically capable of running a marathon.,"[ 3.0438678   6.040907    1.4150939  ... -0.64281136 -4.6071405
  4.6879163 ]",[ 1.4615836  6.399427   2.1177163 ... -0.8026515 -2.7703764  4.9437103]
67,They might not attend., Their attendance is uncertain.,"[-1.6637558   2.3712535  -0.5150365  ...  0.75630796 -2.448356
  3.5913963 ]","[-0.78295624 -0.9656789   0.7809653  ... -1.5186749  -2.3583992
  2.9529662 ]"
68,We might change our plans., We are considering changing our plans.,"[ 0.8421839   0.60089564  0.17612211 ...  0.768148   -4.8845983
  1.6866089 ]","[ 0.24476275  0.92925566  0.287848   ... -0.28089634 -4.032911
  1.3171835 ]"
69,He could win the election., He is a potential winner of the election.,"[ 2.625075    7.1473613  -0.38840517 ...  0.2886692   3.1005764
  4.966884  ]","[ 1.8300184   6.9044514  -1.0783516  ...  0.562548   -0.18231782
  4.4221835 ]"
70,It may rain heavily., Heavy rain is possible.,[-1.5179297  2.8337207  2.831768  ... -0.6687904 -5.0733886  2.15453  ],[ 0.1012338  1.5145211  2.0897477 ... -1.4638382 -1.9427553  1.6515806]
71,She can cook delicious food., She is a skilled cook.,[ 0.489202   6.6291823  1.4117374 ... -0.8350722 -2.5257711  2.7995512],[ 1.5429145  5.8121324  1.8629049 ...  0.054371  -3.157191   4.4718876]
72,They might leave soon., An early departure is likely.,"[-1.0964117   3.1418638   0.99256647 ... -0.4683281  -1.3081157
  2.9228475 ]","[ 0.04280353  1.74785     0.81951565 ... -1.1459205   2.8553236
  2.0768237 ]"
73,We might find a better price., It's possible to find a better price.,[ 1.0167934  3.0786388  0.8182906 ... -1.0175097 -2.480077   0.9764753],[-1.5542806  2.5424721  1.0399748 ... -0.7183137  0.7826574  1.1334956]
74,He could lose his job., He is at risk of losing his job.,"[ 0.46575236  8.524601    1.8861643  ... -1.2474374   2.1650581
  3.5712426 ]","[-0.12503244  7.7424564   2.7486174  ... -0.739677    1.9620917
  2.295701  ]"
75,It may be too expensive., The cost is likely to be high.,[-2.7303448  2.993744   1.5249186 ... -0.45513   -2.2983704  2.152646 ],"[-1.5026386   3.3842542   1.8120316  ... -0.03076268 -0.9215436
  2.452641  ]"
76,She can write poetry., She possesses poetic talent.,"[ 0.5573819   6.620739    1.7921333  ... -0.25211677 -1.8194634
  2.4059162 ]","[-1.1249945   4.2528496   0.51025563 ... -0.53093326 -3.1059139
  3.19281   ]"
77,They might regret it., Regret is a possibility.,"[-2.0050194   3.1822364   0.7829091  ...  0.16698936 -1.3368618
  2.6889358 ]","[-0.69216937  4.1186976   2.6610835  ... -1.6407324   0.18061538
  0.6906858 ]"
78,We might be late., There's a risk of being late.,"[-2.7868485   0.01516656  0.98243016 ... -0.6839133  -2.961253
  2.2919781 ]","[-2.3380818   2.7463262   1.6507244  ... -0.89772075 -0.59748465
  1.3903879 ]"
79,He could retire early., Early retirement is a possibility for him.,"[ 1.2714992   6.983055    2.0808103  ... -0.08800123  2.8069568
  4.3259664 ]","[-2.4126732   2.8663728   1.2970953  ... -0.14896214  3.3441083
  0.96318954]"
80,It may clear up later., An improvement in the weather is possible.,"[-1.545494   -0.1802487   0.8709547  ...  0.68624765 -2.835491
  1.498951  ]","[ 0.32611847  2.2650905   0.85809296 ... -0.5563813   0.20183033
  1.1836183 ]"
81,The children may go outside., The children must go outside.,[ 1.370489   1.804478   1.7176431 ... -1.0036106 -2.4385211  2.0585198],"[ 1.4497157   3.0041583   0.7039719  ... -0.6885106  -0.57632726
  2.0007899 ]"
82,He can finish the report., He should finish the report.,"[ 0.84277064  4.401834    0.87157315 ... -1.3437527  -0.7070778
  4.100694  ]","[-0.90555185  4.243777    0.31372216 ... -0.77709603  0.5158257
  2.8741236 ]"
83,She may need help., She will probably need help.,[ 0.7215157  5.9927206  2.0933144 ...  1.0901684 -1.8535286  1.6155552],[0.84792036 6.4007454  1.2949022  ... 1.1795763  0.04110581 1.8954614 ]
84,They can travel to Europe., They are able to travel to Europe.,[ 1.3015617  5.4460106  1.5755721 ... -1.1773071  1.2215639  3.9250088],[ 0.7134552  5.446928   1.0601745 ... -0.7668648  0.8624078  2.9437876]
85,We may win the game., We are likely to win the game.,"[ 1.4443034   5.8353467  -0.5675362  ... -0.42186674 -2.6972945
  3.8399098 ]","[ 0.37952125  4.638366   -0.6529192  ... -0.10865705 -0.59470963
  3.9129882 ]"
86,The project can be completed., The project must be completed.,[ 1.8553761  1.0929028  1.2083367 ... -0.5315288 -0.6207926  2.8647976],"[ 0.37098703  1.622548    0.09503073 ... -0.5021501   0.5655026
  2.629288  ]"
87,It may snow tomorrow., It's expected to snow tomorrow.,"[ 0.07867678  1.356034    1.0796068  ... -1.0679035  -2.986258
  3.3248703 ]","[-1.0983895   2.2890735   1.2990987  ... -1.4681445   0.40878788
  1.4563191 ]"
88,He can play the guitar., He is capable of playing the guitar.,"[ 2.4878685   9.512153   -0.19940777 ... -0.03284339 -1.2597781
  3.541153  ]",[ 2.1743982  8.760733   0.9616588 ... -0.9653539  0.7756021  2.3270493]
89,She may accept the offer., She is likely to accept the offer.,[ 1.5402579  8.59327    1.1759466 ...  0.6278123 -2.028905   2.2354963],[1.6324468  8.025974   1.2652546  ... 0.55339587 0.6013296  2.5997572 ]
90,They can attend the concert., They ought to attend the concert.,"[ 0.07348827  2.8465402   0.447204   ... -0.01338102 -1.8199444
  3.6864023 ]","[-0.90592706  3.3731196   0.41774035 ... -0.6182246  -0.84808534
  2.783666  ]"
91,We may be late., We could be late.,[-3.0747561  0.7404336  1.0887568 ... -0.6812476 -3.3692448  2.3021376],"[-0.4460861   2.785064    0.837578   ... -0.27204522 -1.338098
  2.4848347 ]"
92,The meeting can be postponed., The meeting should be postponed.,"[ 1.7736584  -1.1530685  -1.1679496  ...  0.18647237 -0.09860023
  2.8741696 ]","[ 1.1340166  -0.44036493 -1.8405623  ...  0.562355    0.705319
  2.6161325 ]"
93,It may rain later., There is a chance of rain later.,"[-0.17046586  2.1522765   2.5537534  ...  0.2556937  -4.8816996
  1.8391091 ]","[-0.06341654  0.41462463  2.382339   ...  0.19749138 -1.8966986
  1.7952172 ]"
94,He can swim well., He is a good swimmer.,"[ 1.389488   10.306287    0.07023821 ... -0.38997465 -2.3547516
  5.4388456 ]","[ 1.850093    8.588474   -0.19462027 ...  0.6805646  -1.4931093
  4.863076  ]"
95,She may buy a new car., She intends to buy a new car.,[ 1.7227927  4.510167   1.1195315 ... -1.0196244 -3.8218172  2.5174763],"[ 1.3215678   5.365221   -0.18195137 ... -1.1458262  -2.4068732
  2.718526  ]"
96,They can leave now., They are permitted to leave now.,[0.5257622  6.7979646  0.48102602 ... 0.36310714 0.09541176 3.7163987 ],"[ 0.31658554  5.9314675   0.2206321  ... -0.01965799  1.4886389
  2.2055666 ]"
97,We may have dinner together., We plan on having dinner together.,"[-3.1967013   1.1763072   1.3243586  ... -0.30098033 -4.828442
  2.6020908 ]",[-1.858074  -1.0976264  0.1598629 ... -1.1539699 -2.623942   2.202538 ]
98,The store can open early., The store is scheduled to open early.,"[ 0.04367197 -1.3856078   3.020382   ...  0.58465534 -0.44815
  1.9317547 ]","[-1.8149335  -5.3902106   3.1894565  ... -0.10763783 -1.974456
  1.5212876 ]"
99,It may be hot today., It is expected to be hot today.,"[-2.4169886   0.12363795  1.8330914  ... -0.610714   -2.8112547
  2.9060783 ]",[-1.608024   3.6501217  1.7674701 ... -1.4291986  0.4382525  1.7819098]
100,He can speak Spanish., He is fluent in Spanish.,[-1.3196695  7.949529   2.2365158 ...  1.6084287 -1.2512653  4.057959 ],"[-0.6837259   5.4458065   2.6165497  ...  1.2303759   0.13143483
  5.0595055 ]"
101,She may finish early., It's possible she'll finish early.,"[ 0.40944272  2.8697605   2.6319146  ... -0.03201691 -3.225613
  3.5918586 ]","[-1.5843132   2.7817516   1.7301956  ... -0.3938732  -0.48536584
  1.7250811 ]"
102,They can help us., They are willing to help us.,"[ 0.03021188  9.96962     0.63709325 ...  1.4061657  -0.66292536
  2.4708824 ]","[ 0.7525744  10.045857    1.2532705  ...  0.42434376 -0.8129681
  1.460086  ]"
103,We may need some tools., We might need some tools.,"[ 2.5842786e-03  3.9701364e+00  2.0419910e+00 ... -8.9814949e-01
 -2.3423424e+00  2.8583741e-01]","[ 0.13996531  3.3937054   1.4044374  ... -0.4257492  -2.206789
 -0.01352923]"
104,The dog can fetch the ball., The dog is trained to fetch the ball.,"[ 3.6707542   8.97408    -0.61437756 ... -0.6094206   0.33464745
  3.017101  ]","[ 2.1026328   9.617782   -0.6000975  ... -1.0471631  -0.12787515
  1.4572301 ]"
105,It may be cloudy., Cloudy skies are anticipated.,[-2.2642152 -0.6330699  1.0433452 ... -0.2628931 -3.6215165  1.8846003],"[ 0.20473547 -2.522606    1.9901451  ... -1.8110479  -1.4207534
  1.7996751 ]"
106,He can write a novel., He has the talent to write a novel.,"[ 0.1330357   5.7065206   1.0674682  ... -0.90831536  1.5327002
  2.4640186 ]","[-1.8709937   6.210376   -0.42307186 ...  0.06237846  0.3201496
  3.5791423 ]"
107,She may visit her parents., She hopes to visit her parents.,"[ 0.13159831  2.5461502   3.522866   ... -1.2154828  -3.8097603
  2.3417666 ]","[ 0.25166896  5.1754684   2.6101444  ... -1.0913384  -1.1721269
  2.29735   ]"
108,They can finish on time., They are expected to finish on time.,[ 0.6672644  3.3070118  1.1882715 ... -0.5831409 -2.3341014  3.6273053],"[-0.97936666  2.5117064   0.8764708  ... -0.76732427 -0.5329306
  2.2252119 ]"
109,We may need more information., More information is needed.,[-2.4401252  4.656064   0.6511906 ... -1.2184123 -2.5168374  0.9600962],[-2.0519981  4.0854926  1.037889  ... -1.200414  -2.4793468  2.2740562]
110,The train can be delayed., The train is subject to delay.,"[ 0.5619855   2.9067094   2.0570343  ... -0.61975217 -2.5516794
  3.3712804 ]",[-1.7501312  1.3737705  3.1180167 ... -0.4925098 -2.9295878  3.209391 ]
111,It may be a difficult task., It is likely to be a difficult task.,"[-2.9767776  -0.22614574  0.05171636 ...  0.05988565 -1.6328734
  2.1058815 ]","[-2.9055378   3.521959    0.8205645  ... -0.10815176  0.92648304
  1.3659254 ]"
112,He can ride a bike., He knows how to ride a bike.,[ 1.75768    7.4974675 -1.182237  ... -1.0006039 -1.6261009  2.6756964],"[-0.16369238  8.462644   -0.09844393 ... -0.39223236  0.2119159
  2.5319495 ]"
113,She may have a good time., She anticipates having a good time.,"[-0.6060047   3.7404943   2.4152606  ...  0.27249557 -2.9079633
  1.7183086 ]","[-0.14480945  2.1628675   0.6632539  ... -1.3708111  -0.12093394
  1.4492846 ]"
114,They can choose their own seats., They have the freedom to choose their own seats.,"[ 0.23118366  3.8743265   0.44563022 ...  0.8728728  -1.4281391
  2.2407086 ]","[-0.60078144  4.529533   -0.42202145 ...  0.43498105 -1.1026624
  1.6400572 ]"
115,We may go to the movies., We are considering going to the movies.,[ 0.9373221  1.6259884  2.350777  ... -1.4464477 -2.6748765  4.222348 ],"[ 0.1452057   0.97420657  1.4038794  ... -1.5095859  -2.0759861
  3.5697908 ]"
116,The sun can be bright., The sun is often bright.,"[-1.3049229   6.8557973   3.735747   ...  0.30759257 -4.7287
  2.3205903 ]",[-0.7180476  4.7660165  3.2245924 ...  1.9765205 -4.4062543  1.4886013]
117,It may be windy., It's likely to be windy.,"[-1.6950325   0.48327455  0.48410958 ... -0.8717211  -2.6298456
  1.7101053 ]",[-3.0421882  2.0016136  1.5836607 ... -0.6018502  1.035369   0.7382626]
118,He can solve the puzzle., He is able to solve the puzzle.,[2.611625   6.725033   0.9819634  ... 0.36225548 0.22625382 2.657778  ],[1.9604871  6.518538   0.83134687 ... 0.83391315 0.6129698  2.0512962 ]
119,She may feel better soon., She is expected to feel better soon.,[ 1.1175188  5.74038    2.3584821 ... -1.0689442 -1.0605069  2.3002229],"[ 0.74652946  6.1704636   1.6979802  ... -1.4098995   0.9686795
  3.3813677 ]"
120,They can work from home., They are allowed to work from home.,"[-0.53398275  2.9007924   0.8063507  ...  0.5166772  -1.8883762
  2.678621  ]","[-0.9987376   2.4082227   0.39209062 ... -0.11894926  0.65762174
  2.4624276 ]"
121,We may take a vacation., We are planning a vacation.,[-0.6734893  1.73062    1.4921733 ... -2.0059788 -1.1456857  2.532964 ],"[-0.8649257  -0.45283833  1.8444942  ... -2.5615683  -1.7709398
  2.631021  ]"
122,The bridge can collapse., The bridge is at risk of collapsing.,"[ 1.7910639   3.2555027   1.6051136  ...  0.21403845 -0.60889816
  2.077422  ]",[-0.6477151  2.7699277  2.241486  ...  0.155502  -0.5756653  2.5006993]
123,It may be dangerous., Caution is advised.,"[-2.108111    2.6492877   0.892852   ... -0.35319918 -1.1913135
  2.3634133 ]",[ 0.7657789  2.912412   2.0911787 ... -2.5178683  1.2971524  3.2169793]
