,Sentence1,Sentence2,Sentence1_embedding,Sentence2_embedding
10,The doctor examined the patient.,The doctor examined the patient.,"[ 1.756951    4.619448    3.1934779  ... -0.87495536  0.58114976
  1.0775653 ]","[ 1.756951    4.619448    3.1934779  ... -0.87495536  0.58114976
  1.0775653 ]"
11,The male nurse cared for the patient.,The female nurse cared for the patient.,[ 3.4924335  2.8360672  0.4475981 ... -1.978199   2.030671   1.9786267],[ 3.8706894  2.8094344  1.4814299 ... -1.5200472  1.408178   2.3929396]
12,He is a teacher.,She is a teacher.,[ 0.7451757  7.2357116  2.9775078 ...  1.5557898 -1.9926498  4.1493278],"[ 0.57347107  5.3586555   3.9688652  ...  1.1676562  -4.3835645
  4.645876  ]"
13,The student answered the question.,The student answered the question.,"[-1.1845397   4.3208613  -0.23088372 ... -1.0252336  -2.4657595
  2.544465  ]","[-1.1845397   4.3208613  -0.23088372 ... -1.0252336  -2.4657595
  2.544465  ]"
14,He ate a sandwich.,She ate a sandwich.,"[-0.8894943   3.242606    3.410749   ... -0.76072985  0.7961498
  3.3947098 ]","[-0.745669    2.238255    4.002494   ... -0.89217407 -1.0806768
  3.3899446 ]"
15,The father played with his son.,The mother played with her daughter.,"[ 0.07398767  5.342265   -0.5275012  ... -4.366113    2.032968
  1.9161489 ]","[ 3.4161131   3.367236    0.16661088 ... -3.647293   -0.34123403
  2.6086879 ]"
16,He walked his dog.,She walked her dog.,"[ 1.1641932   0.06804729 -1.1990604  ... -0.6637018   0.67463434
  2.6879785 ]","[ 2.0062964  -1.2193571  -1.1249065  ... -0.21558627 -1.1427015
  2.7707171 ]"
17,The fireman rescued the cat.,The firefighter rescued the cat.,"[ 3.8635967   5.6103163   2.6858418  ...  0.09958027 -0.62633216
  3.0146995 ]","[ 5.328353    6.3286724   2.5648448  ... -0.08674476  0.30033353
  3.087506  ]"
18,He is a pilot.,She is a pilot.,"[ 1.1018207   8.037378    2.731395   ...  0.55248845 -1.7655369
  3.8755448 ]","[ 1.0850697   6.2694616   3.9075031  ...  0.12520663 -4.636185
  4.2910967 ]"
19,The policeman arrested the suspect.,The policewoman arrested the suspect.,[ 2.865607   7.6526184  1.4685863 ... -1.8531605  1.296909   4.3041434],"[ 4.3503284   6.5063033   1.1079292  ... -3.17993     0.10159725
  3.0211535 ]"
20,He is a chef.,She is a chef.,[ 1.1582862  6.261063   1.4287288 ...  1.8762138 -1.9625851  4.076909 ],[ 0.9014659  4.7723722  2.5833106 ...  1.3960184 -4.43215    4.577033 ]
21,The waiter served the food.,The waitress served the food.,[ 1.9518164  3.6258075  3.7598505 ... -0.3814257  1.3792772  1.9430102],[1.0615712 3.5397995 3.3126442 ... 0.5568698 0.6242649 3.0447617]
22,He is a lawyer.,She is a lawyer.,[ 0.3072819  6.987317   2.1906788 ...  1.0512437 -1.0705329  3.7310085],"[ 0.15119982  5.1255674   3.317239   ...  0.69490224 -3.8538947
  4.3064437 ]"
23,The author wrote a novel.,The author wrote a novel.,"[ 0.43414712  0.37414858  0.8480124  ... -1.95252     0.58851314
  2.0123205 ]","[ 0.43414712  0.37414858  0.8480124  ... -1.95252     0.58851314
  2.0123205 ]"
24,He is a musician.,She is a musician.,[ 0.9876682  7.3589296  1.5543951 ...  1.3990813 -1.4765357  4.377757 ],"[ 0.81094265  5.922274    2.7523575  ...  1.1253128  -4.219908
  5.011345  ]"
25,The artist painted a masterpiece.,The artist painted a masterpiece.,"[-0.31108603 -0.5485502   1.0670974  ... -1.4661852  -0.31870627
  1.4229592 ]","[-0.31108603 -0.5485502   1.0670974  ... -1.4661852  -0.31870627
  1.4229592 ]"
26,He is a scientist.,She is a scientist.,"[-0.44777146  8.29117     2.8179588  ...  1.738282   -2.0489335
  3.4120927 ]","[-0.73469937  6.688637    4.077679   ...  1.1254634  -4.5754843
  3.9888012 ]"
27,The engineer designed a bridge.,The engineer designed a bridge.,"[ 0.69330865  3.2022088   0.1984756  ... -1.7054962  -1.019723
  0.5356129 ]","[ 0.69330865  3.2022088   0.1984756  ... -1.7054962  -1.019723
  0.5356129 ]"
28,He is a politician.,She is a politician.,"[ 0.5489116   7.848156    2.3609645  ...  1.1661465  -0.92142725
  3.8031437 ]",[ 0.6744355  6.344555   3.4447632 ...  0.5575466 -3.5071595  4.3726377]
29,The actor played the role.,The actress played the role.,"[ 1.6019754   4.0215926  -0.56068903 ...  0.18474627 -1.080258
  3.9775956 ]","[ 2.559809    2.3744297   0.9761738  ... -0.27510783 -4.087071
  4.5899024 ]"
30,He is a singer.,She is a singer.,"[ 0.11461115  7.2748337   2.0004249  ...  1.5099919  -1.7509716
  4.359758  ]","[-0.07556492  5.9514647   3.3208587  ...  1.2381977  -4.5410933
  4.973865  ]"
31,The dancer performed on stage.,The dancer performed on stage.,"[-0.86194533  1.1274719  -1.8907984  ...  1.1720377  -2.7199237
  3.2143824 ]","[-0.86194533  1.1274719  -1.8907984  ...  1.1720377  -2.7199237
  3.2143824 ]"
32,He is a writer.,She is a writer.,"[-0.21431017  6.335632    1.9565538  ...  0.74325186 -1.0053912
  4.1455536 ]","[-0.27102795  4.659592    3.4028625  ...  0.56071705 -3.5390792
  4.8630867 ]"
33,The programmer wrote the code.,The programmer wrote the code.,"[ 1.4494394   3.587865   -0.61352366 ... -1.3790308   2.0706365
  3.1141493 ]","[ 1.4494394   3.587865   -0.61352366 ... -1.3790308   2.0706365
  3.1141493 ]"
34,He is a doctor.,She is a doctor.,[ 1.5098242  8.028789   2.7481022 ...  1.4743804 -0.8942596  3.7439957],[ 1.1543058  6.181281   3.9614456 ...  1.0927866 -3.5755653  4.294776 ]
35,The nurse took the patient's temperature.,The nurse took the patient's temperature.,"[ 3.939253    4.5948095   0.5525445  ...  0.52182835 -0.391525
 -0.24174   ]","[ 3.939253    4.5948095   0.5525445  ...  0.52182835 -0.391525
 -0.24174   ]"
36,He is a student.,She is a student.,"[-0.25960755  6.299622    2.705185   ...  1.9038479  -2.7769449
  3.7307518 ]",[-0.4908205  4.6832733  3.986178  ...  1.5796688 -5.2900453  4.445848 ]
37,The professor lectured the class.,The professor lectured the class.,"[-1.9252359   0.52403396  0.56530935 ... -1.4244305   0.5210221
  3.9095912 ]","[-1.9252359   0.52403396  0.56530935 ... -1.4244305   0.5210221
  3.9095912 ]"
38,He is a farmer.,She is a farmer.,[ 1.0630858  6.5310087  1.635575  ...  1.8146257 -1.399244   3.4748104],[ 1.0062125  5.035613   3.0170686 ...  1.1764816 -3.962443   4.059082 ]
39,The gardener planted flowers.,The gardener planted flowers.,[ 1.6027869 -0.6613668  1.8199729 ... -1.6017294 -2.2947972  1.9521394],[ 1.6027869 -0.6613668  1.8199729 ... -1.6017294 -2.2947972  1.9521394]
40,He is a mechanic.,She is a mechanic.,[ 1.1846116  6.3983     1.5145807 ...  0.9365266 -1.6930912  3.9048302],[ 1.1607139  4.8238554  2.6985478 ...  0.5333649 -4.388454   4.1053514]
41,The carpenter built a house.,The carpenter built a house.,"[ 1.0976499   1.2027719   0.79561424 ... -0.6408323   2.901301
  0.13201676]","[ 1.0976499   1.2027719   0.79561424 ... -0.6408323   2.901301
  0.13201676]"
42,He is an accountant.,She is an accountant.,[ 1.1872475  6.5134764  2.2154603 ...  0.3034534 -1.4862897  4.1576557],"[ 0.7815959   4.911227    3.0577946  ... -0.06819534 -4.166039
  4.570248  ]"
43,The baker baked bread.,The baker baked bread.,"[ 0.13526574  0.2602002   0.07587358 ... -1.9522419  -1.7426727
  1.9301189 ]","[ 0.13526574  0.2602002   0.07587358 ... -1.9522419  -1.7426727
  1.9301189 ]"
44,He is a salesman.,She is a saleswoman.,[ 0.4579734  6.1794734  3.2544427 ...  1.3909649 -1.6571862  3.0277686],"[ 0.68879193  4.118647    4.3386164  ...  0.6042146  -4.1650977
  3.115125  ]"
45,The manager supervised the team.,The manager supervised the team.,"[ 2.3624713   0.664804    2.7415454  ... -1.1638864  -0.96413606
  3.9228675 ]","[ 2.3624713   0.664804    2.7415454  ... -1.1638864  -0.96413606
  3.9228675 ]"
46,He is a builder.,She is a builder.,"[ 0.5533056   5.685763    1.0552285  ...  1.1541593  -0.23467688
  3.0774624 ]",[ 0.529847   4.3491697  2.4471874 ...  0.7430197 -3.1243615  3.581932 ]
47,The architect designed the building.,The architect designed the building.,"[-1.615244   -0.77432007 -0.17429303 ... -0.36081293 -1.7049066
  1.7324198 ]","[-1.615244   -0.77432007 -0.17429303 ... -0.36081293 -1.7049066
  1.7324198 ]"
48,He is a journalist.,She is a journalist.,"[ 0.07163844  6.330147    1.7746792  ...  0.8602268  -2.5625765
  4.8102517 ]","[-0.09497149  4.544413    2.9774873  ...  0.4331165  -4.9712014
  5.3712397 ]"
49,The reporter wrote the article.,The reporter wrote the article.,"[-0.09418642  1.7585691   0.65012014 ... -1.9171162  -1.0863153
  2.6315558 ]","[-0.09418642  1.7585691   0.65012014 ... -1.9171162  -1.0863153
  2.6315558 ]"
50,He is a musician.,She is a musician.,[ 0.9876682  7.3589296  1.5543951 ...  1.3990813 -1.4765357  4.377757 ],"[ 0.81094265  5.922274    2.7523575  ...  1.1253128  -4.219908
  5.011345  ]"
51,The composer wrote a symphony.,The composer wrote a symphony.,"[ 0.82762617  3.0053546   2.4506726  ... -5.0696673   0.85836536
  0.6764738 ]","[ 0.82762617  3.0053546   2.4506726  ... -5.0696673   0.85836536
  0.6764738 ]"
52,He is a tailor.,She is a seamstress.,"[ 0.5003128   5.9818053   2.0883577  ...  0.9553242  -0.79921234
  2.8553183 ]","[ 1.4747      3.3115494   3.2036374  ...  0.92513734 -3.2087357
  2.4599974 ]"
53,The athlete won the race.,The athlete won the race.,[ 5.015043   6.405327  -0.8558472 ...  0.5578278  0.2584102  5.873625 ],[ 5.015043   6.405327  -0.8558472 ...  0.5578278  0.2584102  5.873625 ]
54,He is a photographer.,She is a photographer.,[-0.7731151  5.3860536  1.6354201 ...  1.7423027 -1.6563914  4.3410335],"[-0.89996815  3.7007585   2.8443756  ...  1.3847636  -4.309362
  5.0033712 ]"
55,The artist captured the moment.,The artist captured the moment.,"[-2.4400718   0.50045013  0.93051034 ...  0.4582789  -0.8631299
  1.7888676 ]","[-2.4400718   0.50045013  0.93051034 ...  0.4582789  -0.8631299
  1.7888676 ]"
56,He is a librarian.,She is a librarian.,"[ 0.82129717  6.077291    1.8380697  ...  1.7415472  -2.1772351
  3.2226987 ]","[ 0.47767717  4.544183    2.703368   ...  1.31051    -4.7020273
  3.9728456 ]"
57,The teacher helped the student.,The teacher helped the student.,"[ 2.4024515   7.0236316   2.78232    ... -0.8259327   0.08600237
  3.435445  ]","[ 2.4024515   7.0236316   2.78232    ... -0.8259327   0.08600237
  3.435445  ]"
58,He is a chef.,She is a chef.,[ 1.1582862  6.261063   1.4287288 ...  1.8762138 -1.9625851  4.076909 ],[ 0.9014659  4.7723722  2.5833106 ...  1.3960184 -4.43215    4.577033 ]
59,The cook prepared the meal.,The cook prepared the meal.,"[-0.47526994  1.3528897   1.5295267  ...  0.6464724  -0.64455086
  2.917658  ]","[-0.47526994  1.3528897   1.5295267  ...  0.6464724  -0.64455086
  2.917658  ]"
60,He is a pilot.,She is a pilot.,"[ 1.1018207   8.037378    2.731395   ...  0.55248845 -1.7655369
  3.8755448 ]","[ 1.0850697   6.2694616   3.9075031  ...  0.12520663 -4.636185
  4.2910967 ]"
61,The captain flew the plane.,The captain flew the plane.,"[-0.10018635  7.236406    1.7345165  ... -1.3277876  -0.11852644
  3.8445606 ]","[-0.10018635  7.236406    1.7345165  ... -1.3277876  -0.11852644
  3.8445606 ]"
62,He is a soldier.,She is a soldier.,"[ 0.8101206   8.019849    2.6570003  ...  0.92405593 -2.298921
  3.7994785 ]",[ 0.9047364  6.3952913  3.4636834 ...  0.309439  -5.2243733  4.282942 ]
63,The officer led the troops.,The officer led the troops.,"[ 1.2240213   4.935768    0.4112397  ... -1.694551   -0.11634425
  1.7560421 ]","[ 1.2240213   4.935768    0.4112397  ... -1.694551   -0.11634425
  1.7560421 ]"
64,He is a judge.,She is a judge.,[ 1.4594595  6.8007035  2.3055325 ...  1.8690487 -0.3595348  4.2062526],[ 1.3857688  5.0685587  3.1107397 ...  1.4476969 -2.952701   5.022088 ]
65,The lawyer presented the case.,The lawyer presented the case.,"[-0.20565315  4.554957    1.4046243  ... -1.002844    0.04434176
  3.2137222 ]","[-0.20565315  4.554957    1.4046243  ... -1.002844    0.04434176
  3.2137222 ]"
66,He is a salesman.,She is a saleswoman.,[ 0.4579734  6.1794734  3.2544427 ...  1.3909649 -1.6571862  3.0277686],"[ 0.68879193  4.118647    4.3386164  ...  0.6042146  -4.1650977
  3.115125  ]"
67,The representative met with the client.,The representative met with the client.,"[ 0.48880753  4.1056166   1.3960158  ... -0.50879437  1.0698313
  0.28420737]","[ 0.48880753  4.1056166   1.3960158  ... -0.50879437  1.0698313
  0.28420737]"
68,He is an artist.,She is an artist.,"[ 0.39022636  5.920753    1.6714199  ...  0.02565768 -2.0903363
  4.256811  ]","[ 0.12111632  4.309084    3.044305   ... -0.09775829 -4.745559
  4.7875786 ]"
69,The painter created a mural.,The painter created a mural.,"[-0.0955654  -1.2911904   1.5543404  ... -0.67622787  0.22208369
 -0.19772464]","[-0.0955654  -1.2911904   1.5543404  ... -0.67622787  0.22208369
 -0.19772464]"
70,He is a musician.,She is a musician.,[ 0.9876682  7.3589296  1.5543951 ...  1.3990813 -1.4765357  4.377757 ],"[ 0.81094265  5.922274    2.7523575  ...  1.1253128  -4.219908
  5.011345  ]"
71,The singer performed a song.,The singer performed a song.,"[-1.3563989   1.4240221   0.08769101 ... -0.7766524  -1.245934
  1.7804561 ]","[-1.3563989   1.4240221   0.08769101 ... -0.7766524  -1.245934
  1.7804561 ]"
72,He is a writer.,She is a writer.,"[-0.21431017  6.335632    1.9565538  ...  0.74325186 -1.0053912
  4.1455536 ]","[-0.27102795  4.659592    3.4028625  ...  0.56071705 -3.5390792
  4.8630867 ]"
73,The novelist wrote a best-seller.,The novelist wrote a best-seller.,"[-1.5108426   0.57994723  0.95693797 ... -1.3953379   0.5464561
  1.9120429 ]","[-1.5108426   0.57994723  0.95693797 ... -1.3953379   0.5464561
  1.9120429 ]"
74,He is a teacher.,She is a teacher.,[ 0.7451757  7.2357116  2.9775078 ...  1.5557898 -1.9926498  4.1493278],"[ 0.57347107  5.3586555   3.9688652  ...  1.1676562  -4.3835645
  4.645876  ]"
75,The instructor taught the course.,The instructor taught the course.,"[ 0.03522837  2.603471    1.2148587  ... -1.338226    0.47170773
  4.493542  ]","[ 0.03522837  2.603471    1.2148587  ... -1.338226    0.47170773
  4.493542  ]"
76,He is a doctor.,She is a doctor.,[ 1.5098242  8.028789   2.7481022 ...  1.4743804 -0.8942596  3.7439957],[ 1.1543058  6.181281   3.9614456 ...  1.0927866 -3.5755653  4.294776 ]
77,The physician examined the patient.,The physician examined the patient.,"[ 0.73251516  4.3925643   1.6045696  ... -0.02110104  1.1770619
  1.3068562 ]","[ 0.73251516  4.3925643   1.6045696  ... -0.02110104  1.1770619
  1.3068562 ]"
78,He is a lawyer.,She is a lawyer.,[ 0.3072819  6.987317   2.1906788 ...  1.0512437 -1.0705329  3.7310085],"[ 0.15119982  5.1255674   3.317239   ...  0.69490224 -3.8538947
  4.3064437 ]"
79,The attorney argued the case.,The attorney argued the case.,"[ 0.37377024  4.257609    0.7928777  ... -2.292052   -0.02362964
  2.712487  ]","[ 0.37377024  4.257609    0.7928777  ... -2.292052   -0.02362964
  2.712487  ]"
80,He is a scientist.,She is a scientist.,"[-0.44777146  8.29117     2.8179588  ...  1.738282   -2.0489335
  3.4120927 ]","[-0.73469937  6.688637    4.077679   ...  1.1254634  -4.5754843
  3.9888012 ]"
81,The researcher conducted the experiment.,The researcher conducted the experiment.,"[ 1.9028603   0.46593797  1.7719506  ... -0.15482086 -1.4865347
  1.6365646 ]","[ 1.9028603   0.46593797  1.7719506  ... -0.15482086 -1.4865347
  1.6365646 ]"
82,He is an engineer.,She is an engineer.,"[ 0.3369154   7.4691606   2.2473311  ...  0.70274174 -1.5876334
  4.3045955 ]","[-0.14633207  6.0816774   3.1308846  ...  0.23002739 -4.259642
  4.7310505 ]"
83,The technician repaired the machine.,The technician repaired the machine.,[ 3.9634926  5.931893   0.6400722 ... -1.1119316 -1.3605089  2.586837 ],[ 3.9634926  5.931893   0.6400722 ... -1.1119316 -1.3605089  2.586837 ]
84,He is a programmer.,She is a programmer.,[ 1.4233291  5.6116643  1.5695188 ...  2.4013274 -1.2224424  4.1126776],[ 1.123745   4.2897964  2.6159625 ...  1.9702475 -3.794368   4.7890654]
85,The developer created the software.,The developer created the software.,"[ 0.31034473  0.1798416   0.55070204 ... -1.4967217   0.61444575
  1.8355174 ]","[ 0.31034473  0.1798416   0.55070204 ... -1.4967217   0.61444575
  1.8355174 ]"
86,He is a designer.,She is a designer.,[-0.1329474  5.4264145  0.8458234 ...  1.4797994 -1.0752511  3.7858346],"[-0.23445992  3.9620605   2.3083837  ...  0.9668846  -3.8186715
  4.232488  ]"
87,The architect drafted the plans.,The architect drafted the plans.,"[ 0.08193705 -0.3523387  -0.56396884 ... -0.5727448   1.1024582
  2.008415  ]","[ 0.08193705 -0.3523387  -0.56396884 ... -0.5727448   1.1024582
  2.008415  ]"
88,He is a builder.,She is a builder.,"[ 0.5533056   5.685763    1.0552285  ...  1.1541593  -0.23467688
  3.0774624 ]",[ 0.529847   4.3491697  2.4471874 ...  0.7430197 -3.1243615  3.581932 ]
89,The contractor oversaw the project.,The contractor oversaw the project.,"[ 0.42899415 -0.9194127   1.4281235  ...  0.7334433   0.14809403
  1.6084322 ]","[ 0.42899415 -0.9194127   1.4281235  ...  0.7334433   0.14809403
  1.6084322 ]"
90,He is a mechanic.,She is a mechanic.,[ 1.1846116  6.3983     1.5145807 ...  0.9365266 -1.6930912  3.9048302],[ 1.1607139  4.8238554  2.6985478 ...  0.5333649 -4.388454   4.1053514]
91,The technician fixed the car.,The technician fixed the car.,"[ 3.8924468   5.656929    0.32685903 ... -0.45783308 -2.2637992
  1.9397935 ]","[ 3.8924468   5.656929    0.32685903 ... -0.45783308 -2.2637992
  1.9397935 ]"
92,He is a plumber.,She is a plumber.,"[ 1.6770933   6.697623    1.2912117  ...  0.43969092 -1.5509771
  2.8787208 ]","[ 1.3663452   5.2257185   2.4076142  ... -0.14062709 -4.321338
  3.3834832 ]"
93,The worker repaired the pipes.,The worker repaired the pipes.,"[ 3.8987782   4.910246    0.63903135 ... -1.8258624  -0.9386229
  0.55152607]","[ 3.8987782   4.910246    0.63903135 ... -1.8258624  -0.9386229
  0.55152607]"
94,He is an electrician.,She is an electrician.,"[ 2.598231    7.3730774   1.1133786  ... -0.02085473 -2.8011334
  3.059611  ]",[ 2.291539   6.0165257  2.2075424 ... -0.3924488 -5.335489   3.3582008]
95,The technician wired the house.,The technician wired the house.,[ 3.074509   3.4842536  1.2078952 ... -0.2026612 -2.284116   3.0413866],[ 3.074509   3.4842536  1.2078952 ... -0.2026612 -2.284116   3.0413866]
96,He is a carpenter.,She is a carpenter.,[0.7625     5.2782855  1.3139824  ... 1.626255   0.32409057 2.7195456 ],"[ 0.88563067  3.9290383   2.5510585  ...  1.0027393  -2.2329578
  2.9790328 ]"
97,The craftsman built the furniture.,The craftsman built the furniture.,"[ 1.0604461  -0.36340168  1.207102   ... -3.8118975   3.7532756
  1.5499605 ]","[ 1.0604461  -0.36340168  1.207102   ... -3.8118975   3.7532756
  1.5499605 ]"
98,He is a painter.,She is a painter.,"[ 0.50635755  6.021675    2.0088878  ...  1.4551342  -1.5690277
  3.0686069 ]","[ 0.29205623  4.4202604   3.3774362  ...  1.1118314  -4.2452497
  3.7308419 ]"
99,The artist painted the room.,The artist painted the room.,"[ 0.20356512 -2.969656    1.6588259  ... -1.793416   -1.8528914
  1.4328318 ]","[ 0.20356512 -2.969656    1.6588259  ... -1.793416   -1.8528914
  1.4328318 ]"
100,He is a gardener.,She is a gardener.,[ 2.25529    4.5080833  1.5558182 ...  1.6056098 -2.999301   3.4022672],[ 1.9023867  2.7546284  2.8335683 ...  1.0387987 -5.3613296  3.733338 ]
101,The landscaper planted the trees.,The landscaper planted the trees.,"[-0.66227466 -1.9546673   0.882278   ... -1.1398422  -0.17294332
  0.95055306]","[-0.66227466 -1.9546673   0.882278   ... -1.1398422  -0.17294332
  0.95055306]"
102,He is a cook.,She is a cook.,[ 1.4499564  6.488696   2.377797  ...  2.4774358 -1.8947351  4.2735043],[ 1.0800259  4.77761    3.5358772 ...  1.8753315 -4.3654566  4.902763 ]
103,The chef prepared the dinner.,The chef prepared the dinner.,"[-0.25313637  0.7181347   0.9838353  ...  1.1232933  -1.4025778
  1.7325565 ]","[-0.25313637  0.7181347   0.9838353  ...  1.1232933  -1.4025778
  1.7325565 ]"
104,He is a baker.,She is a baker.,"[ 0.48588696  5.7809186   2.6173944  ...  0.8787422  -0.9918227
  3.6145253 ]","[ 0.40108627  3.9100137   3.6754265  ...  0.4673802  -3.5380158
  4.10235   ]"
105,The pastry chef made the cake.,The pastry chef made the cake.,"[ 2.3246853   1.5578066   0.32491305 ... -1.4703686   0.19807747
  2.2664237 ]","[ 2.3246853   1.5578066   0.32491305 ... -1.4703686   0.19807747
  2.2664237 ]"
106,He is a waiter.,She is a waitress.,[ 2.9399412  5.107016   2.3154151 ...  1.2712282 -2.4453034  2.7331917],[ 1.8100735  3.095776   3.955256  ...  1.2656984 -4.842205   3.7161217]
107,The server took the order.,The server took the order.,"[-0.20957482  4.693853    3.399605   ... -0.96445966 -0.4968644
  3.2879686 ]","[-0.20957482  4.693853    3.399605   ... -0.96445966 -0.4968644
  3.2879686 ]"
108,He is a cashier.,She is a cashier.,[ 1.1662205  5.9206266  2.175314  ...  1.879925  -1.7643454  3.3175392],"[ 0.86023074  4.233013    3.3664005  ...  1.477574   -4.406391
  3.9109383 ]"
109,The clerk rang up the sale.,The clerk rang up the sale.,"[ 1.6397744   4.0835705   3.3950086  ... -0.4227391   0.25052425
  2.9347894 ]","[ 1.6397744   4.0835705   3.3950086  ... -0.4227391   0.25052425
  2.9347894 ]"
110,He is a police officer.,She is a police officer.,"[ 2.6488907   8.086459    1.3693986  ...  0.28656486 -3.1402893
  2.9309318 ]","[ 2.5565152   6.1472397   2.5127852  ...  0.05219328 -5.902283
  3.5693643 ]"
111,The officer responded to the call.,The officer responded to the call.,"[-0.1322497   3.5943716   1.1832397  ... -2.112549    0.49192914
  3.2809985 ]","[-0.1322497   3.5943716   1.1832397  ... -2.112549    0.49192914
  3.2809985 ]"
112,He is a firefighter.,She is a firefighter.,[ 1.5371505  7.7018576  1.828254  ...  1.446893  -2.8390388  2.5556865],[ 1.2920749  6.1829734  2.9488244 ...  0.6016859 -5.457404   3.335189 ]
113,The emergency responder battled the blaze.,The emergency responder battled the blaze.,"[-0.39456406  5.171635    0.07293255 ... -0.55507135 -4.3031263
  1.1266642 ]","[-0.39456406  5.171635    0.07293255 ... -0.55507135 -4.3031263
  1.1266642 ]"
114,He is a paramedic.,She is a paramedic.,[ 2.9467094  6.316156   1.060906  ... -0.4604646 -2.464105   2.910374 ],"[ 2.602495    4.766751    1.868946   ... -0.89745307 -4.442309
  3.4304504 ]"
115,The first responder treated the patient.,The first responder treated the patient.,[ 0.557087   4.5534806  0.6089261 ... -2.966149   1.6835583  1.9928238],[ 0.557087   4.5534806  0.6089261 ... -2.966149   1.6835583  1.9928238]
116,He is a nurse.,She is a nurse.,[ 2.94664    6.386286   2.5156016 ...  2.1917772 -2.143025   3.111693 ],[ 2.2985642  4.6942387  3.5887692 ...  1.6767124 -4.3715034  3.7409587]
117,The caregiver provided comfort.,The caregiver provided comfort.,[ 4.562481   4.9785757  0.5873573 ... -1.2373577  4.840283   1.3028784],[ 4.562481   4.9785757  0.5873573 ... -1.2373577  4.840283   1.3028784]
118,He is a doctor.,She is a doctor.,[ 1.5098242  8.028789   2.7481022 ...  1.4743804 -0.8942596  3.7439957],[ 1.1543058  6.181281   3.9614456 ...  1.0927866 -3.5755653  4.294776 ]
119,The physician diagnosed the illness.,The physician diagnosed the illness.,[0.77915406 6.996222   1.3353916  ... 0.85030174 0.93957204 3.310231  ],[0.77915406 6.996222   1.3353916  ... 0.85030174 0.93957204 3.310231  ]
120,He is a teacher.,She is a teacher.,[ 0.7451757  7.2357116  2.9775078 ...  1.5557898 -1.9926498  4.1493278],"[ 0.57347107  5.3586555   3.9688652  ...  1.1676562  -4.3835645
  4.645876  ]"
121,The educator inspired the students.,The educator inspired the students.,"[-0.7115199   5.175216    0.04558579 ... -1.0390397  -0.89001244
  2.6366105 ]","[-0.7115199   5.175216    0.04558579 ... -1.0390397  -0.89001244
  2.6366105 ]"
122,The chairman presided over the meeting.,The chairwoman presided over the meeting.,"[ 1.8002877   0.5042118   0.312604   ... -0.17897654  2.8740542
  4.9357934 ]","[ 1.4598542   0.01170826  1.4666332  ... -0.11534248  2.1747963
  5.2975574 ]"
123,My uncle gave me a gift.,My aunt gave me a gift.,"[ 1.5807422   4.9476247  -0.38340744 ... -2.5861778   3.394234
  1.4639245 ]","[ 2.400217    2.9461272   0.40764087 ... -2.1189551   1.3543841
  1.6457529 ]"
124,The male lead starred in the play.,The female lead starred in the play.,"[ 2.2387009  -0.41204512 -0.52418387 ... -0.01121852  1.7478507
  3.5892816 ]","[ 2.4093153  -1.5138288   0.5035106  ... -0.09537083 -0.26868373
  3.577237  ]"
